"full_address","neighborhoods_analysis_boundaries","permit_type_definition","description","existing_use","proposed_use","permit_creation_date","location.latitude","location.longitude"
"815 Capp St 94110","Mission","otc alterations permit","to comply with physical inspection report item #1 #cc-7920. legalize front anderson series 400 wood frame windows with fibrex cladding and through out building. total 47 windows.","apartments","apartments",2015-01-27,"37.753617671320264","-122.41715788303884"
"1767 Beach St 94123","Marina","additions alterations or repairs","legalize (e) in law unit under amnesty program ordinance #4314","2 family dwelling","apartments",2015-01-30,"37.80400127810161","-122.43835657349165"
"441 43rd Av 94121","Outer Richmond","additions alterations or repairs","legalize (e) unit within the enevolope of (e) building. to legalize kitchen on the top floor by code ord 43-14.","2 family dwelling","apartments",2015-07-10,"37.780365735981384","-122.50443424487835"
"451 Hyde St 94109","Tenderloin","additions alterations or repairs","legalize residential unit in the 1st floor per ord 43-14","apartments","apartments",2015-07-22,"37.7849648872126","-122.41645037256092"
"70 Hartford St 94114","Castro/Upper Market","otc alterations permit","legalize 15 wood sash double-hung windows and install ogee lugs. no other work under this permit. windows on front facade.  windows were replacements of existing windows with no new opening or size change. u-factor .29","apartments","apartments",2015-08-03,"37.76133736806581","-122.43425131723357"
"70 Manzanita Av 94118","Presidio Heights","additions alterations or repairs","unit legalization ord 43-14. legalize (e) tv room as kitchen creating full dwelling unit. includes install gas stove, refrigerator, kitchen sink, range hood.","2 family dwelling","apartments",2016-10-31,"37.784851821449415","-122.45079461147256"
"3629 23rd St 94110","Mission","otc alterations permit","comply with physical inspection report cc7572 to legalize 2 existing skylights","apartments","apartments",2014-09-15,"37.75331890640902","-122.4235542611828"
"1664 Newcomb Av 94124","Bayview Hunters Point","additions alterations or repairs","to comply nov 201638621. legalize illegal unit under unit legalization ord 43-14 at 1st level to correct nov 201638621.","2 family dwelling","apartments",2017-03-21,"37.73617931120661","-122.39092037025104"
"1234 06th Av 94122","Inner Sunset","additions alterations or repairs","legalized ground floor unit, 1 bedroom, kitchen, living/dining, one full bath. comply w/ fs-05","apartments","apartments",2014-11-18,"37.76545145656147","-122.46290506449013"
"102 Baker St 94117","Haight Ashbury","additions alterations or repairs","covert (e) storage space @ 1st flr into garage w/toilet (under sep permit). rebuild (e) front port & stair (under sep permit). new interior stair to 3rd & 4th flr units. relocate kit & bath at 2nd & 3rd flr. complete remodel of 4th fl-legalize 4th fl (n) unit c. seismic upgrade fire sprinkler system","2 family dwelling","apartments",2014-11-25,"37.77201728639061","-122.44024946458775"
"320 Coleridge St 94110","Bernal Heights","additions alterations or repairs","legalize illegal unit at garage level per ordinance 43-14.","2 family dwelling","apartments",2014-12-05,"37.741581622275106","-122.42134386530645"
"322 Coleridge St 94110","Bernal Heights","additions alterations or repairs","legalize illegal unit at garage level per ordinance 43-14.","2 family dwelling","apartments",2014-12-05,"37.741581622275106","-122.42134386530645"
"609 Castro St 94114","Castro/Upper Market","additions alterations or repairs","comply w/ physical inspection report cc-7469, legalize (e) rear deck & stair. legalize (e) back door @ lower level, build (n)) 1-hr wall @ 2nd level deck adj to p.l.","apartments","apartments",2015-10-27,"37.75908565520294","-122.43454877410262"
"30 Rausch St 94103","South of Market","additions alterations or repairs","legalize (e) 1 unit to (e) 1st flr per ordinance no 43-14. (for 6 units to 7 units. ref separate pa #2017-1022-0122 for adu to make 6 units to 8 units.","apartments","apartments",2017-09-22,"37.776539205569314","-122.4102055101158"
"1656 Newcomb Av 94124","Bayview Hunters Point","additions alterations or repairs","legalize ground floor kitch to add (1)(n) residential unit under unit legalization program. remove 2nd, 3rd floor's illegal kitchens per plan. comply nov #201569121, nov #201569684, nov #201567912","apartments","apartments",2015-11-10,"37.736099549383944","-122.39077961205004"
"19 Jasper Pl 94133","North Beach","otc alterations permit","legalize existing bedroom, media rm, storage rm, construct 1 half bathroom.  all work at gr fl","apartments","apartments",2017-09-29,"37.79992497856028","-122.40837628502196"
"839 Leavenworth St 94109","Nob Hill","otc alterations permit","correct record to legalize (e) superintendents unit on g/f, lower fl, to achieve 7'6"" min cieling. window under separate permit. new fixtures in kitchen &bathroom. respond to his #201412101- per mayors directive 13-01. sep. permit sprinkler n sprinkler monitoring.  compliance maher ord #155-13 n/a","apartments","apartments",2015-12-07,"37.78890669050744","-122.41554378730474"
"236 Euclid Av 94118","Presidio Heights","additions alterations or repairs","legalization of illegal unit, ordinance #43-14","apartments","apartments",2015-12-11,"37.7847302060145","-122.4498765111738"
"1351 Revere Av 94124","Bayview Hunters Point","additions alterations or repairs","revise appln #201507010461 legalize (e) kitchen on the round fl to legalize illegal units per plan. comply w/ nov #201553041, #201569651, #201553052 per ord 43-14.","1 family dwelling","apartments",2015-12-15,"37.72884117691198","-122.38571764574267"
"1649 Washington St 94109","Russian Hill","additions alterations or repairs","to comply w/ nov #201119582. 3-story over basement. remodeled in 2008-2009 w/ various permits, however, rear deck exceeded the work shown on permit #200807015782-s, which expired before receiving final sign-off. this permit is intended to legalize non-permitted work & submit special inspection.","apartments","apartments",2015-03-06,"37.79309059416459","-122.42043557504557"
"2577 Post St 94115","Presidio Heights","otc alterations permit","to legalize existing non conforming 4th flr attic for habitable space, mep under separate permit, fully sprinkled building under separate permit.","apartments","apartments",2015-03-20,"37.78346430302171","-122.44413579768124"
"1000 Masonic Av 94117","Haight Ashbury","additions alterations or repairs","legalize (e) unit & correct notice of violations per unit legalization ordinance 43-14.","apartments","apartments",2015-04-02,"37.77198454008151","-122.44538429735398"
"2730 Sacramento St 94115","Pacific Heights","additions alterations or repairs","unit legalization - remodel work, alteration of illegal unit only. ordinance #43-14, 1st floor unit. n/a for maher ordinance no. 155-13. separate sprinkler permit.","apartments","apartments",2016-02-12,"37.7895808243718","-122.43786103136216"
"888 14th St 94114","Castro/Upper Market","additions alterations or repairs","legalize (e) 1 units at basement per ordinance no# 43-14. 1 bedroom & 1 bathroom. electrical, plumbing, mechanical & fire sprinkler under separate permit.","apartments","apartments",2015-02-20,"37.76767275362913","-122.4331948948775"
"1274 Hampshire St 94110","Mission","additions alterations or repairs","unit legalization ordinance 43-14. legalize of one new unit at rear garage at first floor. interior remodel at 2nd and 3rd floor of existing units. comply with complaint #201334822.","2 family dwelling","apartments",2015-03-03,"37.75181615224099","-122.4074652658716"
"471 Union St 94133","North Beach","otc alterations permit","mandatory soft story retrofit using iebc ch a4. existing unit on ground floor to be legalized under seperate permit per ordinance no. 43-14","apartments","apartments",2015-03-17,"37.80050460724401","-122.40712176827505"
"150 Clinton Pk 94103","Mission","additions alterations or repairs","legalize as-build secondary unit on basement floor per plan. legalize as-build (2) powder rooms & (4) storage on basement floor per plan.","apartments","apartments",2015-03-18,"37.76934774845407","-122.42344551334995"
"1051 Post St 94109","Tenderloin","additions alterations or repairs","g/f -legalize of 1 unwarranted unit for a total of 28 units. unit legalization ordinance #43-14.","apartments","apartments",2015-03-23,"37.786675322297455","-122.41904837981484"
"1456 08th Av 94122","Inner Sunset","additions alterations or repairs","legalize accesory unit on ground floor behind garage per ordinance 43-14.","2 family dwelling","apartments",2016-08-31,"37.76113369446326","-122.46470750292282"
"260 Guerrero St 94103","Mission","otc alterations permit","legalize rear stair by unpermitted deck and retaining (e) rear staire that comply with egress req's. add cross bracing.  per za interruption4/96 - not exact replacement - stairs to comply with bld code for egress. also, no fire wall will be included on the stair structure.","apartments","apartments",2015-03-27,"37.766998201743164","-122.4246866971589"
"262 Guerrero St 94103","Mission","otc alterations permit","legalize rear stair by unpermitted deck and retaining (e) rear staire that comply with egress req's. add cross bracing.  per za interruption4/96 - not exact replacement - stairs to comply with bld code for egress. also, no fire wall will be included on the stair structure.","apartments","apartments",2015-03-27,"37.766998201743164","-122.4246866971589"
"1660 Sacramento St 94109","Nob Hill","additions alterations or repairs","addition of 4 new dwelling untis on ground floor under ordinance 162-16.legalized unit under bpa# 2017-1222-7268.","apartments","apartments",2017-12-22,"37.79175713168875","-122.4204156554077"
"3241 25th St 94110","Mission","otc alterations permit","legalize water heater in residential unit#3241, #3243, #3245, #3247 & #3249","apartments","apartments",2017-06-16,"37.75070808038766","-122.4146992746126"
"1518 19th Av 94122","Inner Sunset","additions alterations or repairs","unit legalization ordinance 43-14. new gfci outlet at ground floor kitchen counter.new utilities door. new t/r outlet at ground floor bedroom. & legalized ground floor to comply with code enforcemtn#200561177.","2 family dwelling","apartments",2015-04-30,"37.75943502533161","-122.4764567204021"
"2114 Mission St 94110","Mission","additions alterations or repairs","to comply with nov 201339752: remove illegal kitchen and bedroom at the rear of the building - second floor.","apartments","apartments",2015-05-05,"37.76308982226742","-122.4198286352115"
"2118 Mission St 94110","Mission","additions alterations or repairs","to comply with nov 201339752: remove illegal kitchen and bedroom at the rear of the building - second floor.","apartments","apartments",2015-05-05,"37.76308982226742","-122.4198286352115"
"1335 05th Av 94122","Inner Sunset","additions alterations or repairs","legalize addition unit on 1st fl per plan (1-bedroom, living room, bathroom). unit legalization per oridinance 43-14.","2 family dwelling","apartments",2015-05-06,"37.76352069509197","-122.46231087237736"
"1516 Dolores St 94131","Noe Valley","otc alterations permit","to comply with item # 2 for window replacement of the building and housing inspection report. to legalize window replacement work at the front of unit 1516 & 1520. all street windows to be double hung alum wood clad. n/a for maher.","apartments","apartments",2015-05-12,"37.745079675120316","-122.42488507290535"
"465 Mississippi St 94107","Potrero Hill","otc alterations permit","legalize 2 skylights at the 3rd flr per physical inspection 7609 #11","apartments","apartments",2015-05-12,"37.760644407982106","-122.39408837316644"
"118 Holloway Av 94112","Oceanview/Merced/Ingleside","additions alterations or repairs","legalize of dwelling unit installed without a permit. under ord #43-14.","2 family dwelling","apartments",2015-05-12,"37.72207016562058","-122.45452788004297"
"360 Fillmore St 94117","Hayes Valley","additions alterations or repairs","working at unit 4. legalize  extg 1st floor dwelling unit as unit 4: fire rated occupancy separation, add heater, add street tree if possible, modify sprinkler system, add bike parking space. life safety deferred.","apartments","apartments",2015-05-13,"37.7727968728351","-122.43030920106321"
"1658 10th Av 94122","Inner Sunset","additions alterations or repairs","legalize (e) illegal unit in (e) 2 unit building. legalize (e) kitchen under ord #43-14. sprinkler deferred.","2 family dwelling","apartments",2016-06-10,"37.75731445501201","-122.46658681992858"
"1820 Anza St 94118","Inner Richmond","otc alterations permit","to legalize 20 front windows by changing out current vinyl windows to wood windows, to comply with physical inspection report #cc-7873, item # 1a.  change out with same size and type (hung/fixed)u.32","apartments","apartments",2015-06-04,"37.77917336777023","-122.46782206819148"
"1405 15th St 94103","Mission","additions alterations or repairs","add unit per ordinance no.162-16 - add one dwelling unit on the first floor of an (e) 4 unit bldg. the new unit will be a studios with kitchen and bath. soft story per #201701187351. legalized unit #5 per #2017-0203-8639, unit #6 to be new adu; maher ordinance - extended no.155-13 n/a","apartments","apartments",2017-03-22,"37.766677772213235","-122.41600629119462"
"679 33rd Av 94121","Outer Richmond","additions alterations or repairs","legalize dwelling unit at first floor per ordinance 43-14. comply with complaint #201783951","2 family dwelling","apartments",2017-10-13,"37.77631071684813","-122.49339147800883"
"160 San Carlos St 94110","Mission","additions alterations or repairs","(unit legalize ord 43-14.) legalize (e) unit on grd flr at rear of building (unit#7) per plan. living room, kitche, two bedrooms, & one bath.add one (n) unit on grd fl at front of bldg (unit#8) per ord#30-15. one storage, living room, kitchen, bedroom, full bath. (soft story pa#201606029004.","apartments","apartments",2016-07-21,"37.76080458338982","-122.42023939956857"
"251 Texas St 94107","Potrero Hill","otc alterations permit","convert existing manager's office to dwelling unit. legalize existing bathroom on 1st floor. no exterior work","apartments","apartments",2016-01-25,"37.76319207835786","-122.39530129002974"
"930 Sutter St 94109","Nob Hill","additions alterations or repairs","to comply with complaint 201392231 - legalize 1 ground floor dwelling unit installed w/out a permit. replace/upgrade walls, plumbing, mechanical, electrical & sprinkler systems to legalize 1 ground floor unit. maher na","apartments","apartments",2016-01-28,"37.78859955214582","-122.41574639136284"
"1509 Golden Gate Av 94115","Western Addition","otc alterations permit","remodel existing kitchen & bath. legalize of electrical for kitchen & bathroom.","apartments","apartments",2016-04-15,"37.77884201707616","-122.43562870928955"
"246 30th St 94131","Noe Valley","additions alterations or repairs","legalize existing unauthorized accessory dwelling unit per ordinance 43-14","2 family dwelling","apartments",2016-03-04,"37.74241331729211","-122.42535519973046"
"530 41st Av 94121","Outer Richmond","additions alterations or repairs","legalize unit #1 on ground floor (rear unit) by program requirements per ordinance no 43-14","2 family dwelling","apartments",2016-12-28,"37.77863549332168","-122.50149741852553"
"155 Tucker Av 94134","Visitacion Valley","additions alterations or repairs","to comply his-201109721-to revert back to the last legal use. and to comply his-201111441 & 201111442-to repair cord wiring, waste and vent pipe. legalize (e) bath, bedrooms, family room on ground floor. remodel kitchen, bath & living room on 2nd floor.","apartments","1 family dwelling",2016-03-11,"37.71604331424265","-122.40716506813827"
"2639 Mission St 94110","Mission","additions alterations or repairs","legalize 2 (e) units. residential from commercial. 1 bedroom & 1 bath for each unit.","apartments","apartments",2016-03-11,"37.75480128220394","-122.4183302894667"
"1391 08th Av 94122","Inner Sunset","otc alterations permit","install 7 residential sprinklers in legalized unit clouded ref 201509177276","apartments","apartments",2016-05-24,"37.76238763689164","-122.46540973120668"
"2349 North Point St 94123","Marina","additions alterations or repairs","(unit legalization ordinance 43-14) legalize undocumented unit at 1st floor legalize 1 bedroom, 1 bathroom, 1 kitchen and 1 living room","2 family dwelling","apartments",2016-06-27,"37.80217752679113","-122.44584770972338"
"644 Judah St 94122","Inner Sunset","additions alterations or repairs","legalize and remodel (e) unpermitted unit on 1st fl w/ 1 bath, 1 bedrm and 1 kitchen per ord# 43-14.","2 family dwelling","apartments",2018-04-12,"37.76229106165644","-122.46913261200889"
"2547 Turk St 94118","Lone Mountain/USF","additions alterations or repairs","legalization of dwelling unit @ gr fl per ord# 43-14. includes: legalize kitchen & remodel bathroom, convert (e) den to be a studio unit.","2 family dwelling","apartments",2018-04-20,"37.77805862393496","-122.4495746662147"
"1604 Mcallister St 94115","Western Addition","additions alterations or repairs","per ord 43-14. legalize as-built unit (unit #12) on 2nd floor per plan. included- mud room, entertainment, study room, 2 bathrooms, kitchen, sleeping area, laundry & mezzanine as per plan.","apartments","apartments",2016-08-04,"37.77791583903075","-122.43870878826935"
"6619 California St 94121","Outer Richmond","additions alterations or repairs","legalize non-conforming dwelling unit on 2nd fl as per ord #43-14","2 family dwelling","apartments",2016-08-24,"37.783580123607415","-122.48849436359492"
"2942 Laguna St 94123","Marina","otc alterations permit","to comply with nov #201711531, to legalize enclosed roof deck.","apartments","apartments",2018-07-17,"37.798363295181375","-122.4304153653824"
"275 Grattan St 94117","Haight Ashbury","otc alterations permit","installation of new fire sprinkler s ystem in 2 legalized units; installation of new 2 fire service underground; installation of new 4 dry stand pipe in stairway up front ref pa 2016-0216-9672","apartments","apartments",2017-10-27,"37.76359469361416","-122.45206556219698"
"955 Pine St 94108","Nob Hill","additions alterations or repairs","legalize(e) dwg unit per ord. 43-14 relocate bedroom & add door in lieu of egress window; upgrade exit corridor and storage separation wall to be of 1-hr construction. install gfci outlets & dedicated circuit in kitchen.  install fire sprinkler system in unit & access path to unit.","apartments","apartments",2016-07-20,"37.79048936781193","-122.41144983238259"
"1367 Natoma St 94103","Mission","additions alterations or repairs","comply with nov 201576841. legalize basement unit.","apartments","apartments",2016-07-08,"37.76732119713152","-122.41826264829398"
"2637 Mission St 94110","Mission","additions alterations or repairs","legalize (2) (e) residential units (units built without benefit of permit) @ 2nd fl. no expansion of (e) building envelope.","apartments","apartments",2016-09-28,"37.75480128220394","-122.4183302894667"
"2645 Mission St 94110","Mission","additions alterations or repairs","legalize (2) (e) residential units (units built without benefit of permit) @ 2nd fl. no expansion of (e) building envelope.","apartments","apartments",2016-09-28,"37.75480128220394","-122.4183302894667"
"1270 Fitzgerald Av 94124","Bayview Hunters Point","additions alterations or repairs","legalize (1) unit @ 2nd fl as a code compliant unit. comply w/ nov #201569684, #201569121","2 family dwelling","apartments",2018-02-22,"37.72197859742347","-122.39253780675851"
"788 Green St 94133","Chinatown","additions alterations or repairs","legalize a 2nd dwelling unit at the ground floor of an (e) 2-family 2-story dwelling (per sec 207.3 ord 43-14).","2 family dwelling","apartments",2016-08-18,"37.799355028255526","-122.4120872755437"
"2399 Folsom St 94110","Mission","additions alterations or repairs","to legalize g/f unit fer ordinance 43-14 to add kitchen, 2 bedroom & a bathroom in existing g/f to comply w/ 201616611.","apartments","apartments",2016-10-28,"37.75907056832245","-122.4143986979054"
"840 Capp St 94110","Mission","additions alterations or repairs","legalize (e) illegal unit @ rear of property. add roof deck @ rear of property. to comply w/ nov #20084465, #201265482. structural upgrad (soft story) on separate permit #201601066495. unit legalization ord 43-14.","apartments","apartments",2016-09-02,"37.75318632373501","-122.41775054711002"
"2807 Steiner St 94123","Pacific Heights","otc alterations permit","comply w/ nov#200004155. legalize rear deck at 3rd level.","apartments","apartments",2017-12-18,"37.79518345825259","-122.43710907591179"
"471 Union St 94133","North Beach","otc alterations permit","installation of new fire sprinler system in legalized residential unit 1st fl. upgrade e 1"" meter to 1.5"" and change underground to 1.5 combination","apartments","apartments",2016-09-06,"37.80050460724401","-122.40712176827505"
"333 Green St 94133","North Beach","otc alterations permit","to comply with nov 201499211 legalize (e) trellis on top of (e) rear yard property line (west) fence","apartments","apartments",2018-09-05,"37.7997578405008","-122.40470452255981"
"1390 Revere Av 94124","Bayview Hunters Point","additions alterations or repairs","legalize 3rd unit constructed as part of a duplex per ord #43-14 including kitchen","2 family dwelling","apartments",2016-06-23,"37.729632711420614","-122.38604244654165"
"45 Whitney St 94131","Glen Park","additions alterations or repairs","legalize one 395 sq ft. unwarranted dwelling unit per oridincance 43-14 at existing 1st fl rear. unit shall consist of a bath, kitchen and living /sleeping area. add one window and french doors. no bldg expansion.","apartments","apartments",2018-01-08,"37.740953304756665","-122.4274738468611"
"2942 Anza St 94121","Outer Richmond","additions alterations or repairs","legalize unit (unit c) on 1st floor w/ (1) bedroom, (1) media room, (1) storage, kitchen, living room & (1) full bath per plan per ord #43-14. building to be sprinklered on separate permit.","2 family dwelling","apartments",2017-10-04,"37.77861914722097","-122.48006937657672"
"2812 22nd St 94110","Mission","additions alterations or repairs","unit legalization ord 43-14. legalization of dwelling unit installed without permit. legalize (e) ktichen, bdrm & convert partial (e) garage to family rm & bathrm. all work at ground flr.","apartments","apartments",2017-01-06,"37.75615231909313","-122.41071862895119"
"2814 22nd St 94110","Mission","additions alterations or repairs","unit legalization ord 43-14. legalization of dwelling unit installed without permit. legalize (e) ktichen, bdrm & convert partial (e) garage to family rm & bathrm. all work at ground flr.","apartments","apartments",2017-01-06,"37.75615231909313","-122.41071862895119"
"3780 25th St 94110","Mission","additions alterations or repairs","per unit legalization ordinance# 43-14. legalize existing 1st floor dwelling unit.","2 family dwelling","apartments",2016-05-17,"37.75039338163365","-122.42463055793299"
"730 Lyon St 94115","Lone Mountain/USF","additions alterations or repairs","unit legalize per ord 43-14 on first floor, formerly storage. fire sprinkler under separate permit.","apartments","apartments",2016-08-22,"37.7776663063843","-122.44312628609039"
"435 Oak St 94102","Hayes Valley","additions alterations or repairs","remodel (e) common area on the 1st fl to include bathroom & kitchen (plumbing & electrical) to legalize dwelling space/unit per ord 43-14","2 family dwelling","apartments",2016-12-12,"37.7743172267396","-122.4264854986085"
"437 Oak St 94102","Hayes Valley","additions alterations or repairs","remodel (e) common area on the 1st fl to include bathroom & kitchen (plumbing & electrical) to legalize dwelling space/unit per ord 43-14","2 family dwelling","apartments",2016-12-12,"37.7743172267396","-122.4264854986085"
"122 Kingston St 94110","Bernal Heights","additions alterations or repairs","to legalize one unit under ordinace 43-14.another additional residential unit under review pa#201708023714.","2 family dwelling","apartments",2018-03-01,"37.741551710287155","-122.42218682345447"
"183 Eureka St 94114","Castro/Upper Market","otc alterations permit","existing sprinkler system upgrade per sffd install 7 new sprinklers in legalized unit. ref pa 2016-0504-6552.","apartments","apartments",2017-02-23,"37.759505308045796","-122.43782739461064"
"2883 Bush St 94115","Presidio Heights","additions alterations or repairs","legalize (e) studio effeciency apt @ ground flr as per udu ordinance 43-14.","apartments","apartments",2018-04-11,"37.785372497461175","-122.44459285914574"
"415 07th Av 94118","Inner Richmond","otc alterations permit","to legalize ground floor unit per ordinance 43-14, to add studio unit consited of kitchen area, dinning and sleepint area. sprinkler deferred, if required.","apartments","apartments",2017-04-24,"37.78040775504441","-122.46564408744919"
"538 24th Av 94121","Outer Richmond","additions alterations or repairs","unit legalization ordinance# 43-14. legalize 1st floor dwelling unit. interior renovation under separate permit.","2 family dwelling","apartments",2016-01-22,"37.779334029212976","-122.48327771330898"
"1415 15th St 94103","Mission","additions alterations or repairs","add unit per ordinance no.162-16 - add one dwelling unit on the first floor of an (e) 4 unit bldg. the new unit will be a studios with kitchen and bath. soft story per #201701187351. legalized unit #5 per #2017-0203-8639, unit #6 to be new adu; maher ordinance - extended no.155-13 n/a","apartments","apartments",2017-03-22,"37.766677772213235","-122.41600629119462"
"34 Jasper Pl 94133","North Beach","additions alterations or repairs","legalize (e) illegal unit per ordinance# 43-14. ground floor (1) kitchen, 1 bath, 1 studio.","apartments","apartments",2016-08-05,"37.80002969237822","-122.40811654067093"
"510 26th Av 94121","Outer Richmond","additions alterations or repairs","upgrade & legalize unit per ord 43-14. unit to be upgraded & leglaized; 1 bedroom, 1 living rm, 1 kitchen, 1 bathroom.","apartments","apartments",2017-04-11,"37.779746476466634","-122.48555061485473"
"2488 Geary Bl 94115","Presidio Heights","otc alterations permit","to comply nov#201755611, legalize existing 908 sq.ft. 3rd unit at basement level of 2 story building.","2 family dwelling","apartments",2017-04-14,"37.782944143159185","-122.44431581214887"
"5850 Mission St 94112","Outer Mission","additions alterations or repairs","adu. legalize one bedroom unit, proposed new meter for gas, new furnace, new appitional electric meter, new water heater. comply with nov 201650511.","2 family dwelling","apartments",2017-04-19,"37.709235490927675","-122.4522397240357"
"644 Judah St 94122","Inner Sunset","additions alterations or repairs","legalize and remodel (e) unpermitted unit on 1st fl w/ 1 bath, 1 bedrm and 1 kitchen per ord# 43-14.","2 family dwelling","apartments",2018-04-12,"37.762291061683484","-122.46913261168746"
"126 Hugo St 94122","Inner Sunset","additions alterations or repairs","legalize as built unit (unit 126a) per odrinance 43-14 on 1st flr w/ a bdrm, a full bath, powder rm, kitchen/living rm, office room & media room per plan. to comply with nov #201700151.","2 family dwelling","apartments",2017-11-30,"37.76549073416804","-122.45948424591971"
"3012 Pine St 94115","Presidio Heights","additions alterations or repairs","ground floor: legalize (1) (e) unit (3014-b pine st) per ordinance 43-14sprinklers deferred.","apartments","apartments",2017-12-06,"37.78663136364786","-122.44585620953906"
"3014 Pine St 94115","Presidio Heights","additions alterations or repairs","ground floor: legalize (1) (e) unit (3014-b pine st) per ordinance 43-14sprinklers deferred.","apartments","apartments",2017-12-06,"37.78663136364786","-122.44585620953906"
"3243 25th St 94110","Mission","otc alterations permit","legalize water heater in residential unit#3241, #3243, #3245, #3247 & #3249","apartments","apartments",2017-06-16,"37.75070808038766","-122.4146992746126"
"2002 Pierce St 94115","Pacific Heights","additions alterations or repairs","legalize (e) studio unit at ground flr via ord 43-14 to comply with nov 201459601, 201652551, 201652561 & 201652091.","apartments","apartments",2017-07-27,"37.78868665611443","-122.43695920396272"
"2476 Bush St 94115","Pacific Heights","additions alterations or repairs","legalize (e) unit on ground floor to comply w/ ordinance 43-14.","apartments","apartments",2017-08-31,"37.78672768436377","-122.43800118649328"
"676 11th Av 94118","Inner Richmond","additions alterations or repairs","per unit legalization ordinance 43-14, legalize unit at 1st floor, habitable space under pa 9515386. fire sprinkler under separate permit.","2 family dwelling","apartments",2017-09-11,"37.775561268605564","-122.46892694326529"
"1530 California St 94109","Nob Hill","additions alterations or repairs","per ordinance 43-14. unit legalization. legalize one bedroom unit at the rear of an (e) 6 unit bldg. existing commercial space to the front on california st.","apartments","apartments",2017-09-29,"37.79094636507839","-122.41962585060959"
"4041 Balboa St 94121","Outer Richmond","otc alterations permit","to comply with complaint 201794981, 201795691 201795021: legalize the remodel of 2 ktichens & 8 bathrooms. (#4047 units 2/3/4) & (#4041 units b & c). (#4045 shower installation). install of water heater (common area fpr 704 & 706). repair damaged joist members.","apartments","apartments",2017-09-20,"37.775303359417606","-122.50238992182913"
"2121 Judah St 94122","Sunset/Parkside","additions alterations or repairs","to legalize ground floor unit per ordinance 43-14 to add a 3rd unit consist of kitchen, bedroom & bathroom.","1 family dwelling","apartments",2017-09-29,"37.76110347657459","-122.48492789250552"
"22 Terra Vista Av 94115","Lone Mountain/USF","additions alterations or repairs","to comply w/ nov #201771025, legalize (e) dwelling unit in bldg c, below unit c-1 per ordinance per ord 162-16.","apartments","apartments",2017-10-27,"37.781707779244364","-122.4418919417188"
"2595 43rd Av 94116","Sunset/Parkside","otc alterations permit","ref to complaint 201885072 to legalize storage areas, 1 full bathroom and wetbar at gr fl","apartments","apartments",2018-12-17,"37.73843030561629","-122.50133611506875"
"4526 Fulton St 94121","Outer Richmond","additions alterations or repairs","legalize apartment# 4526-c under ordinance# 43-14. (e) 1 bathroom & 1 bedroom.","apartments","apartments",2018-03-07,"37.77299304611263","-122.48045333073286"
"4440 California St 94118","Inner Richmond","otc alterations permit","at unit 2, to comply with nov 201837242 and legalize family room and remove two partition walls.","apartments","apartments",2018-02-28,"37.785159091167856","-122.46529102567035"
"2400 41st Av 94116","Sunset/Parkside","additions alterations or repairs","legalize one dwelling unit (unit c) on 1st flr w/ 2 bedrooms, one full bath, one kitchen, dining & living room per ord 43-14.","2 family dwelling","apartments",2018-05-25,"37.74187610731517","-122.49903207490799"
"1275 08th Av 94122","Inner Sunset","additions alterations or repairs","legalize (e) dwelling unit at 1st flr per ord# 43-14. planning code section 207.3, new unit included bedroom, bathroom and kitchen.","apartments","apartments",2018-06-05,"37.764558719645926","-122.46560462709833"
"2589 San Bruno Av 94134","Portola","additions alterations or repairs","legalize unit on ground floor of property w/ (4) bedrooms, kitchen, living room & (3) full bathroom per plan ord #43-14","2 family dwelling","apartments",2017-12-05,"37.72908404695225","-122.4038958395015"
"567 Belvedere St 94117","Haight Ashbury","additions alterations or repairs","legalization of (e) illegal dwelling unit @ ground flr per ord# 43-14.","2 family dwelling","apartments",2018-09-19,"37.762345585862235","-122.44818378449547"
"1256 Leavenworth St 94109","Nob Hill","additions alterations or repairs","legalize (e) unit on the 1st flr under ord# 43-14. correct novs 200668574, 200708010, 200878017, 201537301, 201537346 & 201539711. **maher n/a**","2 family dwelling","apartments",2018-10-19,"37.79285470071997","-122.41578158632963"
"819 Cortland Av 94110","Bernal Heights","additions alterations or repairs","comply with nov #201832301 to legalize illegal unit @ 1st fl (ordinance #43-14)","2 family dwelling","apartments",2018-03-21,"37.739082805100985","-122.41429991725754"
"221 Downey St 94117","Haight Ashbury","additions alterations or repairs","legalize in-law per ord# 43-14 unit #4 on ground flr behind (e) garage as shown on plan.","apartments","apartments",2019-09-12,"37.764963145541934","-122.44698115476547"
"217 Virginia Av 94110","Bernal Heights","additions alterations or repairs","to comply with nov 201832351 to legalize a single story rear addition at apt #1, replace window (kitchen) to all wood","apartments","apartments",2019-09-12,"37.74231675467333","-122.41887563153763"
"483 20th Av 94121","Outer Richmond","additions alterations or repairs","comply with complaint# 201712712 & # 201794251. unit legalization ordinance# 43-14. legalization of dwelling unit installed without permit. legalize (e) kitchen & 2 bedroom, 1 bathroom. all work @ ground floor. new stair at rear of building.","2 family dwelling","apartments",2018-04-09,"37.77881324784844","-122.47959679393591"
