"full_address","neighborhoods_analysis_boundaries","permit_type_definition","description","existing_use","proposed_use","permit_creation_date","location.latitude","location.longitude"
"745 Vienna St 94112","Excelsior","additions alterations or repairs","legalize/develop adu @ rear of (e) single family house and legalize non-permitted building envelope. adu per ord 162-16.","1 family dwelling","2 family dwelling",2018-08-20,"37.716609303518844","-122.432977615681"
"300 Somerset St 94134","Portola","additions alterations or repairs","comply w/ complaint# 201876752. unit legalization  per ord 43-14, legalization of unit installed w/o permit. legalize  kitchen. all work @ ground flr. add staircase @ rear of bldg.","1 family dwelling","2 family dwelling",2018-08-21,"37.72763476123894","-122.40822030790846"
"157 Bertita St 94112","Outer Mission","additions alterations or repairs","legalization per ordinance# 43-14. unit to be legalize is 1 bedroom & 1 bathroom. note: nov 201884841 under pa #2019-0815-8894.  ** maher: n/a **","1 family dwelling","2 family dwelling",2019-05-02,"37.718665619457106","-122.44005970502539"
"104 Ralston St 94132","Oceanview/Merced/Ingleside","additions alterations or repairs","per unit legalization ord 43-14. legalization of dwelling unit install without permit. legalize existing kitchen. bedroom and one bathroom. all work at ground floor.","2 family dwelling","apartments",2017-06-23,"37.71447394690662","-122.46866560258476"
"214 Banks St 94110","Bernal Heights","additions alterations or repairs","1st flr - interior remodel - legalize unit kitchen, add a shower stall per ord #414, comply with nov 201715091 & 201719531","1 family dwelling","2 family dwelling",2018-01-12,"37.739904309269896","-122.41290250794056"
"107 Peabody St 94134","Visitacion Valley","additions alterations or repairs","comply w/ complaint # 201885081. add unit per ord# 95-17. legalize kitchen, 2 bedrooms, 2 full baths & family rms. all work @ ground flr.","1 family dwelling","2 family dwelling",2018-08-28,"37.71089406192316","-122.40685395003175"
"166 Palo Alto Av 94114","Twin Peaks","additions alterations or repairs","legalize (e) unit on lower level (418 sqft). two new 24"" box tree to be added with in the public right-of-way. two new 2'-0""x6'-0"" area to be devoted to bicycle parking. per unit legalization ordinance 43-14.","1 family dwelling","2 family dwelling",2015-08-27,"37.75700605011191","-122.44980473032084"
"840 Monterey Bl 94127","West of Twin Peaks","additions alterations or repairs","comply with nov #201780911, 200876639, 200875573.legalize 2nd unit incl kitchen,living rm,dining,3bdrms,3bath,family,laundry on 1/fl.remove stairs.remodel kitchen/bath.add a new full bath,remove bearing wall on 2/flr.replace front windows w/alum clad, others w/vinyl windows.upgrade elec/plumb.","1 family dwelling","2 family dwelling",2017-06-07,"37.73178042500134","-122.45445478361037"
"1785 09th Av 94122","Inner Sunset","additions alterations or repairs","unit legalization ord# 43-14. legalization of dwelling unit installed w/o permit. legalize (e) kitchen. all work @ ground flr.","2 family dwelling","apartments",2018-09-04,"37.75503948346248","-122.46601248343956"
"212 Cambridge St 94134","Excelsior","additions alterations or repairs","legalize a 2nd unpermitted unit. reinstall cabinet, sink & stove in kitchen, complete plan'g landscaping & located bicycle parking.","1 family dwelling","2 family dwelling",2015-04-06,"37.7286322951549","-122.41959288433898"
"21 Flood Av 94131","West of Twin Peaks","otc alterations permit","abate n.o.v.  200864733. legalize fence. remove truck, container and 1 shed from front side yard.","2 family dwelling","2 family dwelling",2018-09-12,"37.72973741694325","-122.4412924360603"
"970 Cayuga Av 94112","Outer Mission","additions alterations or repairs","comply with complaint #201845381. legalize dwelling unit at first floor per ordinance no. 43-14.","1 family dwelling","2 family dwelling",2018-09-14,"37.722582840930386","-122.4397536664397"
"565 Belvedere St 94117","Haight Ashbury","additions alterations or repairs","legalization of (e) illegal dwelling unit @ ground flr per ord# 43-14.","2 family dwelling","apartments",2018-09-19,"37.762345585862235","-122.44818378449547"
"2317 28th Av 94116","Sunset/Parkside","additions alterations or repairs","legalize ground floor kitchen.","1 family dwelling","2 family dwelling",2014-06-12,"37.74409063481669","-122.48576711967343"
"2425 23rd Av 94116","Sunset/Parkside","additions alterations or repairs","legalized ground floor 2nd floor, add kitchen. legalization of dwelling units installed w/o a permit per ordinance no. 43-14. per sf oridinance 43-16 exemption.","1 family dwelling","2 family dwelling",2015-04-10,"37.74235857486517","-122.48027218433921"
"720 Elizabeth St 94114","Noe Valley","otc alterations permit","legalize 2nd unit at bottom story of (e) 3-story residence, replace louvereed door at furnace and water heater rooms w/ fire rated doors. tocomply with 201875515.","1 family dwelling","2 family dwelling",2018-09-25,"37.75213325864521","-122.43693077230465"
"3701 Judah St 94122","Sunset/Parkside","additions alterations or repairs","legalized ground floor 2nd floor, add kitchen. legalization of dwelling units installed w/o a permit per ordinance no. 43-14. per sf oridinance 43-16 exemption.","1 family dwelling","2 family dwelling",2015-04-09,"37.76045836841136","-122.50189271803951"
"2158 22nd Av 94116","Sunset/Parkside","additions alterations or repairs","legalize 2 bedrooms, 1 study room, 1 family room, 1 full & half bathroom, cooking area on the ground floor behind the (e) garage per ordinance no# 43-14.","1 family dwelling","2 family dwelling",2015-04-10,"37.747416774248286","-122.4788912363834"
"2683 Bryant St 94110","Mission","otc alterations permit","to correct violation #201519161 dated 1/23/15: voluntary bolt down foundation with epoxy anchored.replace sheetorck in garage and storage rooms at rear of garage. new garage door, remove illegal plumbing pipes in basement. repair front entry stairway (less than 50%), siding and local repair.","2 family dwelling","2 family dwelling",2015-04-10,"37.751555452236786","-122.40873372910073"
"319 Roanoke St 94131","Glen Park","otc alterations permit","extg kitchen and extg bthrooms. remodel on 1st and 2nd floor per plan. repair dryrot, repair window sill and remove mold to comply with complaint #201393281, complaint #201394101 and complaint #201394111. legalize to current codes and relocated and replaced the rear stairway.","2 family dwelling","2 family dwelling",2013-08-21,"37.734899051674105","-122.4292680978233"
"414 Somerset St 94134","Portola","additions alterations or repairs","1) legalize dwelling unit at first floor per ordinance no.43-14 2) comply with complaint #201489222 and 201520721","1 family dwelling","2 family dwelling",2015-04-10,"37.726251927722544","-122.40764886954561"
"1528 22nd Av 94122","Sunset/Parkside","additions alterations or repairs","unit legalization ordinance 43-14. new 20 min fire door, new gfci outlet at ground floor kitchen counter. legalized 2nd family dwelling. provide second existing for second floor.","1 family dwelling","2 family dwelling",2015-04-30,"37.75914994407348","-122.47970869365334"
"475 Silver Av 94112","Excelsior","additions alterations or repairs","1st floor level: legalize non conforming unit rooms per ordinance #43-14. n.o.v. #201840101 dated march 7, 2018.","1 family dwelling","2 family dwelling",2018-10-09,"37.72884962138521","-122.42654358188517"
"10 Sloat Bl 94132","West of Twin Peaks","additions alterations or repairs","legalize existing 1st fl unit per ordinance 43-14","1 family dwelling","2 family dwelling",2018-01-26,"37.7350095921293","-122.47230834506558"
"1546 27th Av 94122","Sunset/Parkside","additions alterations or repairs","legalize in-law unit per ord# 43-14 on first flr w/ kitchen, living, 1 full bath and 2 bedrooms. rooms perviously permitted under pa# 200007205672.","1 family dwelling","2 family dwelling",2018-10-11,"37.758570580918686","-122.48504629227017"
"1815 22nd Av 94122","Sunset/Parkside","additions alterations or repairs","comply w/ nov# 201859361. legalization of illegal unit on ground flr per ord# 43-14 w/ one bedroom, one bath & kitchen.","2 family dwelling","apartments",2018-10-15,"37.75374133079383","-122.47990523051418"
"359 Lisbon St 94112","Excelsior","additions alterations or repairs","legalize(e) unauthorized dwelling unit under ordinance #43-14. to comply with #201449374","1 family dwelling","2 family dwelling",2019-05-14,"37.72250942949112","-122.43287758602638"
"658 03rd Av 94118","Inner Richmond","additions alterations or repairs","legalize kitchen in living room per ord# 43-14. rename office & playroom to bedroom 1 & 2. permitted rooms. fire sprinkler thru out the whole building under pa# 2016/03/30/3511 & pa# 2015/03/18/1251.","2 family dwelling","apartments",2018-10-18,"37.776291012018945","-122.46038685369385"
"3501 Noriega St 94122","Sunset/Parkside","additions alterations or repairs","unit legalization ordinancer 43-14. legalize dwelling unit at first floor per plan.","1 family dwelling","2 family dwelling",2017-05-19,"37.75292447747513","-122.50127893472428"
"114 Lyon St 94117","Haight Ashbury","additions alterations or repairs","comply with conditional use. merge the 4 units on floors 2,3,4 into one unit as per commission cu.  add (legalize)a 2nd unit @ 1st floor behind garage. legal deck as per variance.","apartments","2 family dwelling",2018-10-23,"37.772137704198755","-122.44202276427548"
"2666 Mcallister St 94118","Lone Mountain/USF","additions alterations or repairs","unit legalization per ord 43-14. & remodel of (e) illegal ground flr apartment in 2-family residence. to include: remodeled kitchen, bathrm, (n) laundry rm/half bath, windows & doors, electrical & plumbing. add nfpa 13 automatic sprinkler system entire ground floor","2 family dwelling","apartments",2018-10-23,"37.77581729826018","-122.4559528605097"
"1668 Newcomb Av 94124","Bayview Hunters Point","additions alterations or repairs","to comply nov 201638621. legalize illegal unit under unit legalization ord 43-14 at 1st level to correct nov 201638621.","2 family dwelling","apartments",2017-03-21,"37.7361793112569","-122.39092037041868"
"1017 Brussels St 94134","Portola","additions alterations or repairs","legalize a 2nd dwelling unit on the ground flr of an (e) single family dwelling per unit legalization ord 43-14. (2) bdrms, bathrooms, kitchen and living room on the ground flr to be legalized per plans.","1 family dwelling","2 family dwelling",2017-01-06,"37.719744110263704","-122.4022463856432"
"3200 Judah St 94122","Sunset/Parkside","otc alterations permit","comply w/ n.o.v's 201890651 & 201888601. remove unpermitted half bath at 3rd flr. cut & cap all utilities. legalize bedrm 2 & bedrm 3 that were prev the living rm & dining rm. fix thermostat & kitchen floor covering. remove deadbolt on bedroom 1 door allowing access to fire escape","2 family dwelling","2 family dwelling",2018-10-26,"37.76098414890018","-122.49651342608776"
"46 Beverly St 94132","Oceanview/Merced/Ingleside","additions alterations or repairs","to legalize ground flr unit per ordinance 43-14 to add a 2nd unit consisting of (n) kitchen, (n) living rm, (n) bedroom & full bath. to add one water hewater & furnace for the (n) unit. to comply with complaint #201705641.","1 family dwelling","2 family dwelling",2018-10-31,"37.71695328663219","-122.47134744303783"
"1182 Fitzgerald Av 94124","Bayview Hunters Point","additions alterations or repairs","to legalize ground flr unit per ordinance 43-14 to add 2nd unit @ the ground flr (ground flr area is fully permitted per permit #2017-1102-3003.","1 family dwelling","2 family dwelling",2018-10-31,"37.72099093582044","-122.39079758389688"
"4615 18th St 94114","Castro/Upper Market","additions alterations or repairs","per unit legalization ordainance #43-14, legalize existing kitchen, add tub in (e) half bathrm, all work at ground floor.","2 family dwelling","apartments",2018-11-01,"37.760212489568744","-122.44190027033669"
"163 Magnolia St 94123","Marina","otc alterations permit","to obtain permit to legalize following work: hang dish cabinet in kitchen (2) approx. 30"" x 30""","2 family dwelling","2 family dwelling",2013-02-14,"37.80042119494421","-122.43392504635868"
"4033 Ortega St 94116","Sunset/Parkside","additions alterations or repairs","add unit ord 95-17. legalization of one unit installed without permit. legalize kitchen, studio room, one full bathroom. all work at ground flr.","1 family dwelling","2 family dwelling",2018-11-07,"37.75077586603002","-122.50694441540689"
"442 12th Av 94118","Inner Richmond","otc alterations permit","remove illegal unit at garage level.  remove kitchen & bath & cap all utlities at source.  convert to storage.","2 family dwelling","2 family dwelling",2013-02-06,"37.77985271555961","-122.47031186288876"
"275 Randall St 94131","Glen Park","otc alterations permit","to comply with nov 201846166 to legalize unpermitted construction per plan. add full bath","2 family dwelling","2 family dwelling",2018-11-09,"37.740286138751145","-122.42946673601062"
"277 Randall St 94131","Glen Park","otc alterations permit","to comply with nov 201846166 to legalize unpermitted construction per plan. add full bath","2 family dwelling","2 family dwelling",2018-11-09,"37.740286138751145","-122.42946673601062"
"444 12th Av 94118","Inner Richmond","otc alterations permit","remove illegal unit at garage level.  remove kitchen & bath & cap all utlities at source.  convert to storage.","2 family dwelling","2 family dwelling",2013-02-06,"37.77985271555961","-122.47031186288876"
"522 29th Av 94121","Outer Richmond","additions alterations or repairs","legalize unit on ground flr behind garage w/ family room, kitchen, bathroom and bedroom per ord# 43-14. to comply w/ nov# 201869831.","2 family dwelling","apartments",2018-11-09,"37.77936540641918","-122.48864730035825"
"275 Harvard St 94134","Excelsior","additions alterations or repairs","legalize unpermitted grd flr 2 bedrooms and 1 bath unit per ord# 43-14.","1 family dwelling","2 family dwelling",2018-11-09,"37.72635936381249","-122.42022742804768"
"26 Lucy St 94124","Bayview Hunters Point","additions alterations or repairs","comply w/ nov# 200342420. legalize unpermitted addition and illegal unit at ground flr per ord# 43-14. remove storage shed in back under separate permit.","1 family dwelling","2 family dwelling",2018-11-09,"37.73039979159285","-122.39364142390289"
"8 Cragmont Av 94116","Inner Sunset","additions alterations or repairs","legalize an existing udu. front yard hardscape & landscape to meet udu requierments per ordinance 43-14.","1 family dwelling","2 family dwelling",2018-06-20,"37.7509979214068","-122.46867047936043"
"1410 Hudson Av 94124","Bayview Hunters Point","additions alterations or repairs","to comply with nov #201703838 & #200345456. ordinance 43-14. legalize existing 1st fl in-law, small changes required to meet current cbc, including new bath fan, new heater, new water heater, build closet in bedroom,sheetrock & insulate @ garage walls, install 20 min door, expand landing","1 family dwelling","2 family dwelling",2017-12-12,"37.738247204270195","-122.38456564922112"
"425 Justin Dr 94110","Bernal Heights","additions alterations or repairs","unit legalization ordinance 43-14.  legalize + remodel  @ 2nd unit/ + remodel main house (kitchen remodel + family room). n/a for maher ordinance.","1 family dwelling","2 family dwelling",2015-06-02,"37.73195581841659","-122.4238945804571"
"1531 44th Av 94122","Sunset/Parkside","additions alterations or repairs","legalize unit ord 43-14-illegal 2nd unit legalization: add fire rating garage & unit, add fire rating @ prop line walls, add sliding glass door, remodeling bathrm, enlarging unit,(n) plumbing & elec for unit, add fire rating @ ceiling btwn units, replace drivewy w/permeable paving","1 family dwelling","2 family dwelling",2015-09-08,"37.75801002226911","-122.50393807740272"
"2048 Filbert St 94123","Marina","otc alterations permit","facade permit. permit to reflect as-built conditions.  to abate planning code violation #2019004628 enf to restore building to a 2-family dwelling use. restore interior seperations proposed to legalize work completed w/out beneifit of permit.","2 family dwelling","2 family dwelling",2019-06-13,"37.79851854894055","-122.43324377169195"
"77 Carmelita St 94117","Haight Ashbury","otc alterations permit","full kitchen remodel, remove e cabinets, replace new cabinets, appliances, plumbing, electrical, legalize gr fl full bath","2 family dwelling","2 family dwelling",2018-11-21,"37.77030487395788","-122.43463280696155"
"5921 California St 94121","Outer Richmond","additions alterations or repairs","legalized existing ground floor unit, 2 bedrooms, kitchen, living/dining and full bath.","2 family dwelling","apartments",2014-11-18,"37.78382840984693","-122.48110964169845"
"2845 Moraga St 94122","Sunset/Parkside","additions alterations or repairs","comply with nov #201939031. legalize unit per ordinance 43-14. studio, bahtroom and kitchen. adu under pa# 2019/05/08/0187.","1 family dwelling","2 family dwelling",2019-05-08,"37.75521970015243","-122.49347540723454"
"159 Panama St 94132","Oceanview/Merced/Ingleside","additions alterations or repairs","legalize (e) unit on the 1st fl level (legalize kitchen). ord #43-14. comply w/ nov 201282264. adding the 3rd adu unit under pa# 2018-1207-7807.","1 family dwelling","2 family dwelling",2018-11-29,"37.709423457218605","-122.46880240661683"
"1277 30th Av 94122","Sunset/Parkside","additions alterations or repairs","comply w/ complaint/nov 201883921 & 201883921 per ord# 43-14. legalize rooms, bathrooms & kitchen on 1st flr as 2nd unit.","1 family dwelling","2 family dwelling",2018-12-04,"37.76350812217859","-122.48927241024572"
"132 Apollo St 94124","Bayview Hunters Point","additions alterations or repairs","legalize unit per ord# 43-14 w/ two bedrooms, a living room, a bathroom, a kitchen & mechnical room on 1st floor. all improvement on ground floor except kitchen has been approved under bpa# 2017-0626-0373.","1 family dwelling","2 family dwelling",2018-12-06,"37.731120645589186","-122.39911588433463"
"3856 23rd St 94114","Noe Valley","otc alterations permit","to legalize 9 double hung wood windows installed on the facade.  u factor of .32. to document for condo conversion.","2 family dwelling","2 family dwelling",2014-11-21,"37.75339137663683","-122.42893764251862"
"3553 20th St 94110","Mission","otc alterations permit","to legalize rear addittion adjacent to rear stairs; replace foundation at east wall at added laundry room. to conform to cc-7914 to supplement pa201903044274.","2 family dwelling","2 family dwelling",2019-06-26,"37.75835902059726","-122.42020449405432"
"3049 Clement St 94121","Outer Richmond","additions alterations or repairs","legalize as-built unit per ordinance 43-14 w/ (2) bedrooms & (3) fixture bathroom, kitchen, living room per plan.","1 family dwelling","2 family dwelling",2018-12-11,"37.78143629847188","-122.49211158866964"
"3858 23rd St 94114","Noe Valley","otc alterations permit","to legalize 9 double hung wood windows installed on the facade.  u factor of .32. to document for condo conversion.","2 family dwelling","2 family dwelling",2014-11-21,"37.75339137663683","-122.42893764251862"
"2654 40th Av 94116","Sunset/Parkside","additions alterations or repairs","unit legalization ord 43-14. unit b will be legalized pursuant to ord 43-14. included 1 bedroom, 1 kitchen, 1 living room, 1 3-fixture bathroom on 1/fl per plan.","1 family dwelling","2 family dwelling",2019-06-26,"37.73730730580059","-122.49752769945586"
"1863 44th Av 94122","Sunset/Parkside","additions alterations or repairs","legalize illegal in-law unit per ord# 43-14 w/ living room, bath, bedroom, kitchen.","1 family dwelling","2 family dwelling",2018-05-25,"37.751870273226","-122.50350822761006"
"167 Valdez Av 94112","West of Twin Peaks","additions alterations or repairs","adu per ordinance 95-17. legalize downstairs kitchen due to complaint 201866881.  4 bedrooms, 1 full bath, living rm, sink.","1 family dwelling","2 family dwelling",2018-12-17,"37.73097079863756","-122.45572120356765"
"1901 33rd Av 94116","Sunset/Parkside","additions alterations or repairs","comply with nov #201760004. legalize unit @ ground floor under ord# 43-14.","1 family dwelling","2 family dwelling",2018-04-10,"37.751557892543126","-122.491574373709"
"147 Peralta Av 94110","Bernal Heights","additions alterations or repairs","reference #201309116556 all work is (e), as built: as part of creating 2 units. owner modified sink location, modified/added laundry rm exhaust for new lower level unit. owner wants 2 units legalized (needs seperate address). relocate unit location. new roof deck","2 family dwelling","2 family dwelling",2015-04-20,"37.74700647715759","-122.40777921334208"
"791 San Jose Av 94110","Bernal Heights","additions alterations or repairs","per legalization ordinance# 43-14, legalize 1 bedroom, 2 bath unit.","2 family dwelling","apartments",2018-12-21,"37.74250202024944","-122.42287109186356"
"1247 37th Av 94122","Sunset/Parkside","additions alterations or repairs","comply w/ complaint# 2018-011698 enf. add (legalize) dwelling unit installed w/o permit per ord# 95-17. legalize kitchen, all work at ground flr.","1 family dwelling","2 family dwelling",2018-12-26,"37.7636630282687","-122.49680992853533"
"6801 Geary Bl 94121","Outer Richmond","additions alterations or repairs","unit c will be legalized pursuant to ord# 43-14. include one bedroom. one office, one kitchen/living room & one 3-fixture bathroom on 1st flr.","2 family dwelling","apartments",2019-06-27,"37.77953259919647","-122.49244018576032"
"68 Rockwood Ct 94127","West of Twin Peaks","additions alterations or repairs","to comply with nov #201857591. to legalize existing unauthorized dwelling unit on the lower floor. plant (1) new tree in front setback. rescape front set to include permeable and landscape surfaces. there is no change to the extg structural (ord 43-14)","1 family dwelling","2 family dwelling",2018-12-27,"37.743248969697305","-122.45773117480914"
"334 Vernon St 94132","Oceanview/Merced/Ingleside","additions alterations or repairs","legalize dwelling unit at 1st floor per ord# 43-14. comply w/ complaint# 201892341 & 201899952.","1 family dwelling","2 family dwelling",2018-12-31,"37.718552886025144","-122.46776709827964"
"475 04th Av 94118","Inner Richmond","additions alterations or repairs","(rear bldg) legalize first floor dwelling unit per ord 43-14. planning code sec 207.3. (rear building.)","1 family dwelling","2 family dwelling",2018-05-09,"37.77966189066088","-122.46236534834222"
"1719 Broderick St 94115","Pacific Heights","additions alterations or repairs","legalize existing single unit - no construction or alterations are proposed. legalize the merger of 2 flats previously converted into a single unit.","2 family dwelling","1 family dwelling",2014-06-23,"37.78666686659742","-122.44216397349778"
"357 Tocoloma Av 94134","Bayview Hunters Point","additions alterations or repairs","per unit legalization ordinance 43-14. legalize 1 kichen, 1 bedroom, 1 powder room, 1 storage, 2 bathrooms & 1 entertainment room on 1st floor. change occupancy from 1 unit to 2 units.","1 family dwelling","2 family dwelling",2016-05-06,"37.71051055232488","-122.3982529168452"
"2475 Bryant St 94110","Mission","otc alterations permit","abatement of nov 201384207. remove illegally built roof penthouse. provide new roof access hatch in lieu of penthouse. legalize spiral stairs and stair opening.  work at roof level only. add 42"" high parapet.","2 family dwelling","2 family dwelling",2013-02-22,"37.75484735219981","-122.40900151521024"
"1418 Diamond St 94131","Noe Valley","additions alterations or repairs","unit legalization ord #43-14. ref 201207316173.new 164 sf entry hall at grd floor. reduce by 64 sf. remodel & legalize (e) 2nd unit at 2/fl 633 sf total.","1 family dwelling","2 family dwelling",2019-01-04,"37.74601103300554","-122.43611910360376"
"658 06th Av 94118","Inner Richmond","additions alterations or repairs","front bldg: scope of work includes legalize unit per ord #43-14. (e) residential attic. (n) work limited to creation of a (n) kitchen in the renovated attic includes electrical/plumbing.","2 family dwelling","apartments",2019-01-07,"37.776144287038235","-122.46360268716317"
"1186 Pacific Av 94133","Nob Hill","additions alterations or repairs","infill 2 interior lightwells. remove 2nd egress stair. entire bldg install automatic sprinkler under separate permit. complete remodel and reconfigure layout for 2 units per plans shown. legalize study room and add a full bath on 1st flr. new stair btwn 2nd & 3rd floor. new roof deck.maher n/a.","2 family dwelling","2 family dwelling",2014-11-25,"37.79606451321061","-122.41471709230662"
"1188 Pacific Av 94133","Nob Hill","additions alterations or repairs","infill 2 interior lightwells. remove 2nd egress stair. entire bldg install automatic sprinkler under separate permit. complete remodel and reconfigure layout for 2 units per plans shown. legalize study room and add a full bath on 1st flr. new stair btwn 2nd & 3rd floor. new roof deck.maher n/a.","2 family dwelling","2 family dwelling",2014-11-25,"37.79606451321061","-122.41471709230662"
"689 20th Av 94121","Outer Richmond","otc alterations permit","to comply with #201806611. remove sink and revert to 2014 drawings per approved plan #201405166050, and legalize laundry room cabinets and counters.","2 family dwelling","2 family dwelling",2019-01-08,"37.77490459059699","-122.4792634430635"
"1458 43rd Av 94122","Sunset/Parkside","additions alterations or repairs","legalize unit @ ground floor per ordinance 43-14. remodel bath, relocate kitchenette, rebuild stair to 2nd floor, add (n) bedroom for main unit @ ground floor.","1 family dwelling","2 family dwelling",2014-11-25,"37.7594784658315","-122.50230731074573"
"1451 Mariposa St 94107","Potrero Hill","additions alterations or repairs","legalize (e) dwelling unit. change of use from r-3 to r-2. provide (n) smoke detectors. replace (e) outlets in kitchen, replace (e) light fixture in kitchen.  provide (n) sprinkler system throughout per nfpa 13.","2 family dwelling","apartments",2013-02-25,"37.763567143768704","-122.39812495899574"
"1650 11th Av 94122","Inner Sunset","additions alterations or repairs","legalize an (e) unauthorized dwelling unit on ground floor per ordiance 43-14. entire 1st fl to be upgraded to include fire sprinkler system. all three flrs to include manual fire alarm system. verify (e) strl complies w/ lateral force resisting per 2016 sfbc sec 407 change of occupancy r3 to r2.","2 family dwelling","apartments",2019-01-11,"37.75740444075071","-122.4676673360574"
"2970 21st St 94110","Mission","otc alterations permit","revision to pa #201401105997:  add full bath, legalize (e) bath, 3 new bedrooms, new staircase to 2nd floor. remove & replace skylights. all work in attic area.","2 family dwelling","2 family dwelling",2015-09-15,"37.75757164115414","-122.4139611123256"
"1951 Turk St 94115","Western Addition","otc alterations permit","comply with enf# 2018-008194 efn and legalize ground floor shower. reactivate existing stairs from 2nd floor to 1st floor. remove the ground floor sink to comply with rooms down matrix.","2 family dwelling","2 family dwelling",2019-01-16,"37.779054894400154","-122.44118618469717"
"120 Langton St 94103","South of Market","otc alterations permit","to comply with nov #200346052, remove bar and kitchen cooking facilities, remove approx. 230 sq. ft area at rear of building. legalize storage room.","2 family dwelling","2 family dwelling",2013-08-30,"37.77581124741986","-122.40801605667302"
"1336 11th Av 94122","Inner Sunset","additions alterations or repairs","to comply w/ nov 201796761 and legalize trellis and stairs built w/o permit @ rear deck.","2 family dwelling","2 family dwelling",2019-01-16,"37.76326597405083","-122.46807465738596"
"2560 21st Av 94116","Sunset/Parkside","additions alterations or repairs","addition of dwelling unit per ordinance no.162-16. legalize rear deck.","1 family dwelling","2 family dwelling",2017-03-24,"37.74000557348595","-122.47729877570153"
"867 47th Av 94121","Outer Richmond","additions alterations or repairs","comply w/ complaint #201919751. per ordinance# 43-14, legalize existing ground floor space to a unit - 2 bedrooms, 1 bath, kitchen, fire wall in garage to living space.","1 family dwelling","2 family dwelling",2019-01-18,"37.77212829324185","-122.50812773906614"
"248 Farallones St 94112","Oceanview/Merced/Ingleside","additions alterations or repairs","unit legalization ord 43-14. legalize (e) unit installed without permit. 2 bedroom & 1 bathroom.","1 family dwelling","2 family dwelling",2019-01-23,"37.71429548527709","-122.46093338194746"
"37 Crescent Av 94110","Bernal Heights","otc alterations permit","legalize existing consturction at garage level including storage area and bathroom.","2 family dwelling","2 family dwelling",2019-01-24,"37.735517181948715","-122.42383144614402"
"39 Crescent Av 94110","Bernal Heights","otc alterations permit","legalize existing consturction at garage level including storage area and bathroom.","2 family dwelling","2 family dwelling",2019-01-24,"37.735517181948715","-122.42383144614402"
"334 19th Av 94121","Outer Richmond","additions alterations or repairs","comply with nov #201270362. legalize ground flr unit per ordinance 43-14. new fire sprinklers under separate permit. remove illegal horizontal addition that extends beyond north property line.","2 family dwelling","apartments",2018-04-27,"37.78165075489475","-122.47806653494945"
"6227 03rd St 94124","Bayview Hunters Point","additions alterations or repairs","legalize the lower porting of the home by creacting a legal studio unit consisting of the bathroom and kitchen per ord# 43-14. the rest of the unit will be seperated via a wall. to comply w/ nov#201383512.","1 family dwelling","2 family dwelling",2019-01-29,"37.72188893877514","-122.39548049009748"
"85 Miguel St 94131","Glen Park","additions alterations or repairs","legalize(e)bsmt level rear room enclosure (under(e)1/fl deck) & legalize (e)bsmt level-rear deck&deck stairs that extends the rear rm enclosure. legalize of(e)bsmt (lower level) bathrm.a rear yard variance is req for the nw & sw corner of rear room enclosure,bsmt,deck&deck stairs.","2 family dwelling","2 family dwelling",2013-02-28,"37.73889451534042","-122.42884412078197"
"471 Duboce Av 94114","Castro/Upper Market","otc alterations permit","retroactively bring façade changes into code (legalize changes). removed tiles, steps and relocated upper entry door. ref app#201110036006","2 family dwelling","2 family dwelling",2019-03-13,"37.769101247481416","-122.43066307536441"
"2074 Bancroft Av 94124","Bayview Hunters Point","additions alterations or repairs","comply w/ nov# 201804991 and 201890208. legalize of dwelling unit installed w/o permit per unit legalization ord# 43-14. 1st flr: kitchen, living room, 1 full bath and 1 bedroom.","1 family dwelling","2 family dwelling",2019-02-05,"37.730828394245876","-122.40148550522223"
"1736 18th Av 94122","Inner Sunset","otc alterations permit","per pa #201806040906, legalize one family dwelling at blk 2036, lot 021 as; 1736 18th ave. administration permit to change address at pa #201806040906 from 1738 18th ave to 1736 18th ave.","1 family dwelling","2 family dwelling",2019-05-29,"37.755408584158275","-122.47515476553245"
"137 Cole St 94117","Lone Mountain/USF","otc alterations permit","legalize existing windows front and back per physical inspection report.  cc-7864. u factor 0.32 max","2 family dwelling","2 family dwelling",2014-11-20,"37.77369424521728","-122.45136630332138"
"2883 San Bruno Av 94134","Portola","additions alterations or repairs","comply enf#2017008719-00,02,03&04enf,dbi novs,legalize 3 unit,provide 2nd egress for 4th fl units by install permanent hot dipped galvanized steell fire escape stairs,interior adjustment of approved pa#201209270764 to accomondate 5 unit,facade modify to match as built conditions per zoning adminitor","2 family dwelling","apartments",2019-05-29,"37.725542277833426","-122.40244864090322"
"2889 San Bruno Av 94134","Portola","additions alterations or repairs","comply enf#2017008719-00,02,03&04enf,dbi novs,legalize 3 unit,provide 2nd egress for 4th fl units by install permanent hot dipped galvanized steell fire escape stairs,interior adjustment of approved pa#201209270764 to accomondate 5 unit,facade modify to match as built conditions per zoning adminitor","2 family dwelling","apartments",2019-05-29,"37.725542277833426","-122.40244864090322"
"2875 San Bruno Av 94134","Portola","additions alterations or repairs","comply enf#2017008719-00,02,03&04enf,dbi novs,legalize 3 unit,provide 2nd egress for 4th fl units by install permanent hot dipped galvanized steell fire escape stairs,interior adjustment of approved pa#201209270765 to accomondate 5 unit,facade modify to match as built conditions per zoning adminitor","2 family dwelling","apartments",2019-05-29,"37.725542277833426","-122.40244864090322"
